Feature,Permutation_Importance
fuel_other,0.5158278779155807
type_hatchback,0.1766691312477633
type_SUV,0.10182825411102385
type_sedan,0.07578609737829538
fuel_electric,0.05322815972394892
transmission_manual,0.0324687661282951
fuel_diesel,0.01866451367022819
paint_color_grey,0.012159878997772466
paint_color_silver,0.011135608551558106
paint_color_custom,0.004973920174234081
fuel_hybrid,0.0030238381878007203
condition_like new,0.0026212173208477905
type_wagon,0.0021646083681844176
paint_color_orange,0.0006354511009703856
type_offroad,0.00024302366655319928
paint_color_brown,0.00023285112256417052
type_bus,0.00012195081944810227
paint_color_yellow,6.96712675562594e-05
title_status_clean,0.0
paint_color_purple,-6.22537627350539e-05
type_van,-0.0005035847621911671
condition_new,-0.0012227547689690255
paint_color_blue,-0.0017367546599416528
type_other,-0.0032284282460750546
paint_color_green,-0.003283510305482196
type_mini-van,-0.005144231708982261
paint_color_red,-0.009336461986822541
type_convertible,-0.016933072829124284
paint_color_unknown,-0.01747902051283745
type_coupe,-0.018525660440354842
paint_color_white,-0.03595016844992642
transmission_other,-0.047392749241407725
type_truck,-0.04921225267680711
paint_color_black,-0.06691725004202453
condition_fair,-0.07350408243437415
condition_excellent,-0.08186813076827093
condition_good,-0.102783963237016
type_pickup,-0.111729811301484
transmission_automatic,-0.19069356649415567
fuel_gas,-1.0124418027771753
manufacturer,-2.066203573474195
model,-61.269549698638
age,-121.19653105249017
year,-121.1965310525724
odometer,-203.51423266203784
