,0
model,2.9889424460090397
year,1.484711195518442
type_pickup,0.3950539357786185
manufacturer,0.38902903870435224
type_convertible,0.32324037348006973
paint_color_white,0.1938359143429461
type_SUV,0.16919485164342304
fuel_diesel,0.165383501542393
condition_like new,0.15438084721045758
paint_color_black,0.12385262017235495
transmission_manual,0.08212133852462558
type_coupe,0.07734962444661242
paint_color_custom,0.048110496008033875
paint_color_red,0.04750483161556738
paint_color_silver,0.04654326459534265
condition_good,0.0450713400813428
type_offroad,0.043052446707329425
paint_color_grey,0.025345322761429947
paint_color_blue,0.02433353140397505
condition_new,0.023016934407805466
type_bus,0.020164605272034217
transmission_other,0.011829917956333869
paint_color_brown,0.005001572300470112
title_status_clean,0.0
paint_color_yellow,-0.003118792775855501
type_other,-0.009096582387218749
paint_color_purple,-0.012096160174795544
paint_color_orange,-0.014531560127748751
paint_color_green,-0.02410656409739517
type_van,-0.024215124282694723
condition_excellent,-0.03777693164703122
type_mini-van,-0.04406349404203362
transmission_automatic,-0.05281387270231907
type_wagon,-0.06722857531537742
type_truck,-0.16265342583049366
type_sedan,-0.24330335505644557
fuel_hybrid,-0.3205473765341461
fuel_electric,-0.32370336543424655
paint_color_unknown,-0.3576839676553162
type_hatchback,-0.36024913762768473
fuel_other,-0.4103488984272581
condition_fair,-0.4910287152785592
fuel_gas,-0.7761828990427176
age,-1.4847111955173862
odometer,-1.5736360627033203
